杭州电信,#genre#
CCTV 1,http://183.129.255.66:8480/hls/1/index.m3u8  
2,http://183.129.255.66:8480/hls/2/index.m3u8  
3,http://183.129.255.66:8480/hls/3/index.m3u8  
4,http://183.129.255.66:8480/hls/4/index.m3u8  
5,http://183.129.255.66:8480/hls/5/index.m3u8  
6, http://183.129.255.66:8480/hls/6/index.m3u8  
7,http://183.129.255.66:8480/hls/7/index.m3u8  
8,http://183.129.255.66:8480/hls/8/index.m3u8  
9,http://183.129.255.66:8480/hls/9/index.m3u8  
10,http://183.129.255.66:8480/hls/10/index.m3u8  
11,http://183.129.255.66:8480/hls/11/index.m3u8  
12,http://183.129.255.66:8480/hls/12/index.m3u8  
13,http://183.129.255.66:8480/hls/13/index.m3u8  
14,http://183.129.255.66:8480/hls/14/index.m3u8  
15,http://183.129.255.66:8480/hls/15/index.m3u8  
16,http://183.129.255.66:8480/hls/16/index.m3u8  
17,http://183.129.255.66:8480/hls/17/index.m3u8  
18,http://183.129.255.66:8480/hls/18/index.m3u8  
19,http://183.129.255.66:8480/hls/19/index.m3u8  
20,http://183.129.255.66:8480/hls/20/index.m3u8  
21,http://183.129.255.66:8480/hls/21/index.m3u8  
22,http://183.129.255.66:8480/hls/22/index.m3u8  
23,http://183.129.255.66:8480/hls/23/index.m3u8  
24,http://183.129.255.66:8480/hls/24/index.m3u8  
25,http://183.129.255.66:8480/hls/25/index.m3u8  
26,http://183.129.255.66:8480/hls/26/index.m3u8  
27,http://183.129.255.66:8480/hls/27/index.m3u8  
28,http://183.129.255.66:8480/hls/28/index.m3u8  
29,http://183.129.255.66:8480/hls/29/index.m3u8  
30,http://183.129.255.66:8480/hls/30/index.m3u8  
31,http://183.129.255.66:8480/hls/31/index.m3u8  
32,http://183.129.255.66:8480/hls/32/index.m3u8  
33,http://183.129.255.66:8480/hls/33/index.m3u8  
34,http://183.129.255.66:8480/hls/34/index.m3u8  
35,http://183.129.255.66:8480/hls/35/index.m3u8  
36,http://183.129.255.66:8480/hls/36/index.m3u8  
37,http://183.129.255.66:8480/hls/37/index.m3u8  
38,http://183.129.255.66:8480/hls/38/index.m3u8  
39,http://183.129.255.66:8480/hls/39/index.m3u8  
40,http://183.129.255.66:8480/hls/40/index.m3u8  
41,http://183.129.255.66:8480/hls/41/index.m3u8  
42,http://183.129.255.66:8480/hls/42/index.m3u8  
43,http://183.129.255.66:8480/hls/43/index.m3u8  
44,http://183.129.255.66:8480/hls/44/index.m3u8  
45,http://183.129.255.66:8480/hls/45/index.m3u8  
46, http://183.129.255.66:8480/hls/46/index.m3u8  
47,http://183.129.255.66:8480/hls/47/index.m3u8  
48,http://183.129.255.66:8480/hls/48/index.m3u8  
49,http://183.129.255.66:8480/hls/49/index.m3u8  
50,http://183.129.255.66:8480/hls/50/index.m3u8
